pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
Kepler-795 b,Kepler-795,Transit,29.6193421,0.0001144,-0.0001144,,,,,,,,,,0.1808,,,0.0,,
Kepler-795 b,Kepler-795,Transit,29.6193891,0.0001103,-0.0001103,,,,,,,,,,0.1817,,,0.0,,
Kepler-795 b,Kepler-795,Transit,29.6193421,0.0001144,-0.0001144,,,,,,,0.15,0.016,-0.012,,,,,,
Kepler-795 b,Kepler-795,Transit,29.6193421,0.0001144,-0.0001144,,,,,,,,,,0.1808,,,0.0,,
Kepler-795 b,Kepler-795,Transit,29.61981,0.00031,-0.00031,,,,,,,,,,0.185,,,0.0,,
Kepler-795 b,Kepler-795,Transit,29.61953353,4.2e-06,-4.2e-06,,,,,,,,,,,,,,,
Kepler-795 b,Kepler-795,Transit,29.6193421,0.0001144,-0.0001144,,,,,,,,,,0.1808,,,0.0,,
Kepler-795 b,Kepler-795,Transit,29.61944478,9.185e-05,-9.185e-05,,,,,,,,,,,,,,,
Kepler-795 b,Kepler-795,Transit,29.6193891,0.0001103,-0.0001103,,,,,,,,,,,,,,,
Kepler-83 b,Kepler-83,Transit,9.7704486,1.455e-05,-1.455e-05,,,,,,,,,,,,,,,
Kepler-83 b,Kepler-83,Transit,9.771,,,0.132,0.078,-0.066,,,,0.242,0.013,-0.013,,,,,,
Kepler-83 b,Kepler-83,Transit,,,,,,,,,,0.24,0.009,-0.007,,,,,,
Kepler-83 b,Kepler-83,Transit,9.7704486,1.455e-05,-1.455e-05,,,,,,,,,,0.0714,,,0.0,,
Kepler-83 b,Kepler-83,Transit,9.77044998,1.91e-06,-1.91e-06,,,,,,,,,,,,,,,
Kepler-83 b,Kepler-83,Transit,9.770513,4.7e-05,-4.7e-05,,,,,,,,,,0.078,,,0.0,,
Kepler-83 b,Kepler-83,Transit,9.77,,,,,,,,,0.252,0.037,-0.037,,,,,,
Kepler-83 b,Kepler-83,Transit,9.77042372,3.2e-05,-3.02e-05,,,,,,,0.212,0.028,-0.026,,,,,,
Kepler-83 b,Kepler-83,Transit,9.77058983,0.00018,-0.00018,,,,,,,0.209,0.19,-0.19,0.07295,0.00284,-0.00284,,,
Kepler-83 b,Kepler-83,Transit,9.77045194,1.445e-05,-1.445e-05,,,,,,,,,,0.0729,,,0.0,,
Kepler-83 b,Kepler-83,Transit,9.77045194,1.445e-05,-1.445e-05,,,,,,,,,,0.0729,,,0.0,,
Kepler-83 b,Kepler-83,Transit,9.77,,,,,,,,,0.222,0.021,-0.021,,,,,,
Kepler-83 b,Kepler-83,Transit,9.77045194,1.445e-05,-1.445e-05,,,,,,,0.228,0.012,-0.01,,,,,,
Kepler-83 b,Kepler-83,Transit,,,,,,,,,,0.242,0.014,-0.014,,,,,,
Kepler-83 b,Kepler-83,Transit,9.77045194,1.445e-05,-1.445e-05,,,,,,,,,,0.0729,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09015098,4.57e-06,-4.57e-06,,,,,,,,,,,,,,,
Kepler-83 c,Kepler-83,Transit,20.09020088,6.306e-05,-6.306e-05,,,,,,,,,,0.1178,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09020088,6.306e-05,-6.306e-05,,,,,,,,,,0.1178,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09020088,6.306e-05,-6.306e-05,,,,,,,,,,0.1178,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09,,,,,,,,,0.191,0.018,-0.018,,,,,,
Kepler-83 c,Kepler-83,Transit,20.09020088,6.306e-05,-6.306e-05,,,,,,,0.196,0.01,-0.01,,,,,,
Kepler-83 c,Kepler-83,Transit,20.08976,0.00021,-0.00021,,,,,,,,,,0.126,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09031319,5.943e-05,-5.943e-05,,,,,,,,,,,,,,,
Kepler-83 c,Kepler-83,Transit,20.09,,,,,,,,,0.211,0.031,-0.031,,,,,,
Kepler-83 c,Kepler-83,Transit,20.08922958,0.00054,-0.00054,,,,,,,0.173,0.21,-0.21,0.11796,0.00459,-0.00459,,,
Kepler-83 c,Kepler-83,Transit,20.09017037,6.63e-05,-6.63e-05,,,,,,,,,,0.1154,,,0.0,,
Kepler-83 c,Kepler-83,Transit,20.09,,,0.036,0.017,-0.014,,,,0.208,0.013,-0.013,,,,,,
Kepler-83 c,Kepler-83,Transit,,,,,,,,,,0.208,0.013,-0.013,,,,,,
Kepler-83 c,Kepler-83,Transit,,,,,,,,,,0.241,0.016,-0.032,,,,,,
Kepler-83 c,Kepler-83,Transit,20.09017037,6.63e-05,-6.63e-05,,,,,,,,,,,,,,,
Kepler-83 c,Kepler-83,Transit,20.0901,0.00014,-0.000133,,,,,,,0.182,0.024,-0.022,,,,,,
Kepler-83 d,Kepler-83,Transit,,,,,,,,,,0.179,0.006,-0.007,,,,,,
Kepler-83 d,Kepler-83,Transit,5.17,,,0.077,0.062,-0.051,,,,0.19,0.013,-0.013,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16980427,9.04e-06,-9.04e-06,,,,,,,,,,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16980995,9.75e-06,-9.75e-06,,,,,,,,,,0.0477,,,0.0,,
Kepler-83 d,Kepler-83,Transit,5.16982,2.9e-05,-2.9e-05,,,,,,,,,,0.051,,,0.0,,
Kepler-83 d,Kepler-83,Transit,5.16980995,9.75e-06,-9.75e-06,,,,,,,0.174,0.008,-0.011,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16981495,9.96e-06,-9.96e-06,,,,,,,,,,,,,,,
Kepler-83 d,Kepler-83,Transit,,,,,,,,,,0.19,0.013,-0.013,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16979783,2.49e-06,-2.49e-06,,,,,,,,,,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16980995,9.75e-06,-9.75e-06,,,,,,,,,,0.0477,,,0.0,,
Kepler-83 d,Kepler-83,Transit,5.16980427,9.04e-06,-9.04e-06,,,,,,,,,,0.0467,,,0.0,,
Kepler-83 d,Kepler-83,Transit,5.16990995,0.00011,-0.00011,,,,,,,0.168,0.164,-0.164,0.04773,0.00186,-0.00186,,,
Kepler-83 d,Kepler-83,Transit,5.16981333,2.19e-05,-2.29e-05,,,,,,,0.159,0.021,-0.02,,,,,,
Kepler-83 d,Kepler-83,Transit,5.16980995,9.75e-06,-9.75e-06,,,,,,,,,,0.0477,,,0.0,,
Kepler-83 d,Kepler-83,Transit,5.169796,1.6e-05,-1.6e-05,,,,,,,0.173,0.012,-0.012,0.051,,,,,
Kepler-83 d,Kepler-83,Transit,5.17,,,,,,,,,0.175,0.016,-0.016,,,,,,
Kepler-908 b,Kepler-908,Transit,1.34059747,1.95e-06,-1.95e-06,,,,,,,,,,0.0248,,,0.0,,
Kepler-908 b,Kepler-908,Transit,1.34059747,1.95e-06,-1.95e-06,,,,,,,,,,0.0248,,,0.0,,
Kepler-908 b,Kepler-908,Transit,,,,,,,,,,0.119,0.007,-0.005,,,,,,
Kepler-908 b,Kepler-908,Transit,1.340638,1.1e-05,-1.1e-05,,,,,,,,,,0.025,,,0.0,,
Kepler-908 b,Kepler-908,Transit,1.34059747,1.95e-06,-1.95e-06,,,,,,,,,,0.0248,,,0.0,,
Kepler-908 b,Kepler-908,Transit,1.34060748,8.3e-07,-8.3e-07,,,,,,,,,,,,,,,
Kepler-908 b,Kepler-908,Transit,1.34059747,1.95e-06,-1.95e-06,,,,,,,0.109,0.009,-0.007,,,,,,
Kepler-908 b,Kepler-908,Transit,1.34059854,1.14e-06,-1.14e-06,,,,,,,,,,,,,,,
Kepler-908 b,Kepler-908,Transit,1.34059678,2.11e-06,-2.11e-06,,,,,,,,,,,,,,,
Kepler-908 b,Kepler-908,Transit,1.34059678,2.11e-06,-2.11e-06,,,,,,,,,,0.0247,,,0.0,,
Kepler-951 b,Kepler-951,Transit,71.52530845,8.419e-05,-8.419e-05,,,,,,,,,,0.3114,,,0.0,,
Kepler-951 b,Kepler-951,Transit,,,,,,,,,,0.455,0.022,-0.019,,,,,,
Kepler-951 b,Kepler-951,Transit,71.52622,0.00021,-0.00021,,,,,,,,,,0.325,,,0.0,,
Kepler-951 b,Kepler-951,Transit,71.52543938,9.47e-05,-9.47e-05,,,,,,,,,,,,,,,
Kepler-951 b,Kepler-951,Transit,71.52530845,8.419e-05,-8.419e-05,,,,,,,,,,0.3114,,,0.0,,
Kepler-951 b,Kepler-951,Transit,71.52530845,8.419e-05,-8.419e-05,,,,,,,0.499,0.021,-0.023,,,,,,
Kepler-951 b,Kepler-951,Transit,71.52543938,9.47e-05,-9.47e-05,,,,,,,,,,0.3091,,,0.0,,
Kepler-951 b,Kepler-951,Transit,71.52533237,8.8e-07,-8.8e-07,,,,,,,,,,,,,,,
Kepler-951 b,Kepler-951,Transit,71.52539312,4.401e-05,-4.401e-05,,,,,,,,,,,,,,,
Kepler-951 b,Kepler-951,Transit,71.52530845,8.419e-05,-8.419e-05,,,,,,,,,,0.3114,,,0.0,,
Kepler-970 b,Kepler-970,Transit,16.73652231,2.699e-05,-2.699e-05,,,,,,,0.247,0.012,-0.038,,,,,,
Kepler-970 b,Kepler-970,Transit,16.73650543,1.63e-06,-1.63e-06,,,,,,,,,,,,,,,
Kepler-970 b,Kepler-970,Transit,,,,,,,,,,0.244,0.068,-0.056,,,,,,
Kepler-970 b,Kepler-970,Transit,16.736955,8.5e-05,-8.5e-05,,,,,,,,,,0.111,,,0.0,,
Kepler-970 b,Kepler-970,Transit,16.736525,2e-05,-2e-05,,,,,,,0.233,0.024,-0.018,0.139,0.022,-0.026,0.34,0.18,-0.22
Kepler-970 b,Kepler-970,Transit,16.73652231,2.699e-05,-2.699e-05,,,,,,,,,,0.1139,,,0.0,,
Kepler-970 b,Kepler-970,Transit,16.7364755,0.0001396,-0.0001396,,,,,,,,,,0.1107,,,0.0,,
Kepler-970 b,Kepler-970,Transit,16.73652231,2.699e-05,-2.699e-05,,,,,,,,,,0.1139,,,0.0,,
Kepler-970 b,Kepler-970,Transit,16.7364755,0.0001396,-0.0001396,,,,,,,,,,,,,,,
Kepler-970 b,Kepler-970,Transit,16.73652231,2.699e-05,-2.699e-05,,,,,,,,,,0.1139,,,0.0,,
Kepler-99 b,Kepler-99,Transit,4.60357529,4.67e-06,-4.67e-06,,,,,,,,,,,,,,,
Kepler-99 b,Kepler-99,Transit,4.60357337,7.4e-07,-7.4e-07,,,,,,,,,,,,,,,
Kepler-99 b,Kepler-99,Transit,4.60357804,3.78e-06,-3.78e-06,,,,,,,,,,0.0492,,,0.0,,
Kepler-99 b,Kepler-99,Transit,4.6035613,7.6e-06,-7.6e-06,,,,,,,,,,0.05,,,0.0,,
Kepler-99 b,Kepler-99,Transit,4.60357804,3.78e-06,-3.78e-06,,,,,,,,,,0.0492,,,0.0,,
Kepler-99 b,Kepler-99,Transit,,,,,,,,,,0.135,0.007,-0.006,,,,,,
Kepler-99 b,Kepler-99,Transit,4.60357804,3.78e-06,-3.78e-06,,,,,,,0.161,0.004,-0.021,,,,,,
Kepler-99 b,Kepler-99,Transit,4.60357804,3.78e-06,-3.78e-06,,,,,,,,,,0.0492,,,0.0,,
Kepler-99 b,Kepler-99,Transit,4.60357531,2.59e-06,-2.59e-06,,,,,,,,,,,,,,,
Kepler-99 b,Kepler-99,Transit,4.60357529,4.67e-06,-4.67e-06,,,,,,,,,,0.0503,,,0.0,,
Kepler-99 b,Kepler-99,Transit,4.60358,,,0.019,0.004,-0.004,,,,0.132,0.007,-0.007,,,,,,
LHS 1678 b,LHS 1678,Transit,0.86024058,1.023e-05,-1.023e-05,,,,,,,0.087,0.05,-0.05,,,,,,
LHS 1678 b,LHS 1678,Transit,0.8602322,6.8e-06,-6.8e-06,0.0011,,,,,,0.062,0.004,-0.004,0.01251,0.00059,-0.00056,0.25,,
LHS 1678 c,LHS 1678,Transit,3.69426041,1.084e-05,-1.084e-05,,,,,,,0.093,0.039,-0.039,,,,,,
LHS 1678 c,LHS 1678,Transit,3.694247,2.4e-06,-2.1e-06,0.0044,,,,,,0.088,0.006,-0.006,0.0331,0.0016,-0.0015,0.22,,
LTT 1445 A b,LTT 1445 A,Transit,5.3587657,4.3e-06,-4.2e-06,0.00903,0.00082,-0.00079,,,,0.116,0.006,-0.005,0.03813,0.00068,-0.0007,0.11,,
LTT 1445 A b,LTT 1445 A,Transit,5.35882,0.0003,-0.00031,0.00692,0.00535,-0.00661,,,,0.123,0.012,-0.011,0.03807,0.00068,-0.00071,0.19,0.35,-0.14
LTT 1445 A b,LTT 1445 A,Transit,5.35877595,7.55e-06,-7.55e-06,,,,,,,0.129,0.027,-0.027,,,,,,
LTT 1445 A c,LTT 1445 A,Transit,3.1239035,3.4e-06,-3.6e-06,0.00485,0.00063,-0.0006,,,,0.102,0.005,-0.005,0.02661,0.00047,-0.00049,0.223,,
LTT 3780 b,LTT 3780,Transit,0.76839038,9.6e-06,-9.6e-06,,,,,,,0.102,0.135,-0.135,,,,,,
LTT 3780 b,LTT 3780,Transit,0.768448,5.5e-05,-5.3e-05,0.00824,0.00151,-0.00145,,,,0.119,0.006,-0.007,0.01211,0.00012,-0.00012,0.0,,
LTT 3780 b,LTT 3780,Transit,0.768377,1.4e-06,-1.4e-06,0.00736,0.00076,-0.00072,,,,0.12,0.005,-0.005,0.01203,0.00054,-0.00053,0.064,0.075,-0.046
LTT 3780 c,LTT 3780,Transit,12.252131,7.2e-05,-6.4e-05,0.01979,0.00198,-0.00192,,,,0.216,0.009,-0.009,0.0762,0.0034,-0.0034,0.115,0.07,-0.065
LTT 3780 c,LTT 3780,Transit,12.25217688,4.334e-05,-4.334e-05,,,,,,,0.185,0.077,-0.077,,,,,,
LTT 3780 c,LTT 3780,Transit,12.2519,0.0028,-0.003,0.02706,0.00503,-0.00409,,,,0.205,0.014,-0.013,0.07673,0.00075,-0.00077,0.06,0.15,-0.14
MASCARA-4 b,MASCARA-4,Transit,2.8240662,3.132e-05,-3.132e-05,,,,,,,1.565,0.05,-0.05,,,,,,
MASCARA-4 b,MASCARA-4,Transit,2.82406,3e-05,-3e-05,3.1,0.9,-0.9,,,,1.53,0.07,-0.04,0.047,0.004,-0.004,0.0,,
MXB 1658-298 b,MXB 1658-298,Eclipse Timing Variations,760.0,,,23.7,3.2,-3.2,,,,,,,1.613,0.11,-0.11,,,
NGTS-14 A b,NGTS-14 A,Transit,3.5357173,6.9e-06,-6.9e-06,0.092,0.012,-0.012,,,,0.444,0.03,-0.03,0.0403,0.0071,-0.0071,0.0,,
NGTS-3 A b,NGTS-3 A,Transit,1.67515676,0.00014579,-0.00014579,,,,,,,1.181,0.043,-0.043,,,,,,
NGTS-3 A b,NGTS-3 A,Transit,1.6753728,3e-06,-3e-06,2.38,0.26,-0.26,,,,1.48,0.37,-0.37,0.023,0.007,-0.005,,,
NN Ser c,NN Ser,Eclipse Timing Variations,5660.0,165.0,-165.0,6.91,0.54,-0.54,,,,,,,5.38,0.2,-0.2,,,
NN Ser c,NN Ser,Eclipse Timing Variations,5573.55,102.2,-102.2,7.33,0.31,-0.31,,,,,,,5.35,0.06,-0.06,0.08,0.05,-0.05
NN Ser d,NN Ser,Eclipse Timing Variations,2830.0,130.0,-130.0,2.28,0.38,-0.38,,,,,,,3.39,0.1,-0.1,,,
NN Ser d,NN Ser,Eclipse Timing Variations,2883.5,182.5,-182.5,2.3,0.5,-0.5,,,,,,,3.43,0.14,-0.14,0.19,0.05,-0.05
NSVS 14256825 b,NSVS 14256825,Eclipse Timing Variations,3225.0,22.0,-22.0,14.15,0.16,-0.16,14.15,0.16,-0.16,,,,3.12,0.07,-0.07,0.12,0.02,-0.02
NY Vir b,NY Vir,Eclipse Timing Variations,3160.0,62.0,-62.0,2.66,0.26,-0.26,2.66,0.26,-0.26,,,,,,,0.15,0.08,-0.08
NY Vir b,NY Vir,Eclipse Timing Variations,2985.7,65.7,-65.7,2.78,0.19,-0.19,2.78,0.19,-0.19,,,,,,,0.44,0.17,-0.17
NY Vir b,NY Vir,Eclipse Timing Variations,2900.0,,,2.3,0.3,-0.3,,,,,,,3.3,,,,,
NY Vir c,NY Vir,Eclipse Timing Variations,8799.0,240.0,-240.0,5.54,0.2,-0.2,5.54,0.2,-0.2,,,,,,,0.15,0.01,-0.01
OGLE-2007-BLG-349L AB c,OGLE-2007-BLG-349L A,Microlensing,2557.0,,,0.25171,0.0409,-0.0409,,,,,,,2.59,0.43,-0.34,,,
OGLE-2008-BLG-092L b,OGLE-2008-BLG-092L,Microlensing,,,,0.18,,,,,,,,,15.0,,,,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,Microlensing,,,,0.0073,0.00085,-0.00085,,,,,,,0.883,0.043,-0.043,,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,Microlensing,,,,0.00522,0.00057,-0.00057,,,,,,,0.702,0.022,-0.022,,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,Microlensing,,,,,,,,,,,,,,,,,,
OGLE-2013-BLG-0341L B b,OGLE-2013-BLG-0341L B,Microlensing,,,,,,,,,,,,,,,,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,4.42,3.88,-2.54,,,,,,,3.9,1.46,-1.66,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,1.17,1.33,-0.76,,,,,,,3.04,0.15,-0.13,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,3.01,2.32,-1.71,,,,,,,3.28,1.2,-1.39,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,2.75,2.17,-1.49,,,,,,,3.15,1.32,-1.18,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,4.18,3.19,-2.43,,,,,,,6.4,2.51,-2.63,,,
OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,Microlensing,,,,2.74,2.23,-1.51,,,,,,,4.19,1.84,-1.67,,,
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,Microlensing,,,,4.4,3.04,-2.0,,,,,,,2.8,3.2,-2.5,,,
OGLE-2018-BLG-1700L b,OGLE-2018-BLG-1700L,Microlensing,,,,4.4,3.04,-2.0,,,,,,,2.8,3.2,-2.5,,,
OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,Microlensing,,,,0.51,0.51,-0.23,,,,,,,1.23,1.39,-1.07,,,
PH1 b,PH1,Transit,138.317,0.04,-0.027,0.531,,,,,,0.551,0.015,-0.015,0.652,0.012,-0.012,0.0702,0.0029,-0.0039
PSR B1620-26 b,PSR B1620-26,Pulsar Timing,,,,2.5,1.0,-1.0,,,,,,,23.0,,,,,
Pr0211 b,Pr0211,Radial Velocity,2.1451,0.0012,-0.0012,1.844,0.064,-0.064,1.844,0.064,-0.064,,,,,,,0.0,,
Pr0211 b,Pr0211,Radial Velocity,2.1461,3e-05,-3e-05,1.88,0.03,-0.03,1.88,0.03,-0.03,,,,0.03176,0.00015,-0.00015,0.011,0.012,-0.008
Pr0211 c,Pr0211,Radial Velocity,4850.0,4560.0,-1750.0,7.79,0.33,-0.33,7.79,0.33,-0.33,,,,5.5,3.0,-1.4,0.71,0.11,-0.11
Proxima Cen b,Proxima Cen,Radial Velocity,11.186,0.001,-0.002,0.004,0.0006,-0.00053,0.004,0.0006,-0.00053,,,,0.0485,0.0041,-0.0051,0.35,,
Proxima Cen b,Proxima Cen,Radial Velocity,11.1855,0.0016,-0.0014,,,,,,,,,,,,,0.08,0.07,-0.06
Qatar-6 b,Qatar-6,Transit,3.506195,1.8e-05,-1.8e-05,0.668,0.066,-0.066,,,,1.062,0.071,-0.071,0.0423,0.0004,-0.0004,0.0,,
Qatar-6 b,Qatar-6,Transit,3.50610637,0.0005852,-0.0005852,,,,,,,1.209,0.221,-0.221,,,,,,
ROXs 12 b,ROXs 12,Imaging,,,,16.0,4.0,-4.0,,,,,,,210.0,20.0,-20.0,,,
ROXs 12 b,ROXs 12,Imaging,,,,,,,,,,,,,214.0,,,0.83,,
ROXs 42 B b,ROXs 42 B,Imaging,,,,,,,,,,,,,140.0,,,0.58,,
ROXs 42 B b,ROXs 42 B,Imaging,,,,9.0,3.0,-3.0,,,,,,,157.0,,,,,
ROXs 42 B b,ROXs 42 B,Imaging,,,,10.5,4.5,-4.5,,,,,,,150.0,,,,,
RR Cae b,RR Cae,Eclipse Timing Variations,4343.5,36.5,-36.5,4.2,0.4,-0.4,4.2,0.4,-0.4,,,,5.3,0.6,-0.6,0.0,,
Ross 458 c,Ross 458,Imaging,,,,8.0,3.0,-2.0,,,,,,,1100.0,,,,,
Ross 458 c,Ross 458,Imaging,,,,6.0,,,,,,1.25,,,1100.0,,,,,
SR 12 AB c,SR 12 AB,Imaging,,,,13.0,7.0,-7.0,,,,,,,,,,,,
TIC 172900988 b,TIC 172900988 Aa,Transit,204.046,0.057,-0.057,3.08752,0.01793,-0.01793,,,,1.005,0.036,-0.036,0.91359,0.00023,-0.00023,0.0269,0.0021,-0.0021
TIC 172900988 b,TIC 172900988 Aa,Transit,200.452,0.011,-0.011,2.96386,0.01762,-0.01762,,,,1.004,0.039,-0.039,0.90281,0.00016,-0.00016,0.0271,0.0011,-0.0011
TIC 172900988 b,TIC 172900988 Aa,Transit,198.856,0.099,-0.099,2.73638,0.01573,-0.01573,,,,0.999,0.038,-0.038,0.89809,0.00034,-0.00034,0.088,0.0037,-0.0037
TIC 172900988 b,TIC 172900988 Aa,Transit,188.835,0.092,-0.092,2.59228,0.0151,-0.0151,,,,1.003,0.04,-0.04,0.86762,0.00033,-0.00033,0.0826,0.0038,-0.0038
TIC 172900988 b,TIC 172900988 Aa,Transit,190.375,0.053,-0.053,2.66087,0.01479,-0.01479,,,,0.995,0.037,-0.037,0.87235,0.00023,-0.00023,0.0631,0.0037,-0.0037
TIC 172900988 b,TIC 172900988 Aa,Transit,193.965,0.078,-0.078,2.6335,0.01479,-0.01479,,,,1.008,0.036,-0.036,0.88328,0.00027,-0.00027,0.0728,0.0028,-0.0028
TOI-1201 b,TOI-1201,Transit,2.49197708,7.12e-06,-7.12e-06,,,,,,,0.198,0.088,-0.088,,,,,,
TOI-1201 b,TOI-1201,Transit,2.4919863,3e-06,-3.1e-06,0.01976,0.00264,-0.00277,,,,0.215,0.008,-0.008,0.0287,0.0012,-0.0012,0.0,,
TOI-1259 A b,TOI-1259 A,Transit,3.477978,1.9e-06,-1.7e-06,0.441,0.049,-0.047,,,,1.022,0.03,-0.027,0.0407,0.00114,-0.0011,0.0,,
TOI-1259 A b,TOI-1259 A,Transit,3.4779796,5e-07,-5e-07,,,,,,,1.199,0.085,-0.085,,,,,,
TOI-1333 b,TOI-1333,Transit,4.72088,9e-05,-9e-05,,,,,,,1.269,0.055,-0.055,,,,,,
TOI-1333 b,TOI-1333,Transit,4.720219,1.1e-05,-1.1e-05,2.37,0.24,-0.24,,,,1.396,0.056,-0.054,0.0626,0.0011,-0.0012,0.073,0.092,-0.052
TOI-1338 b,TOI-1338,Transit,95.2,,,,,,,,,0.7,0.066,-0.066,,,,,,
TOI-1338 b,TOI-1338,Transit,95.174,0.031,-0.035,0.10383,0.06387,-0.06167,,,,0.611,0.017,-0.017,0.4607,0.0084,-0.0088,0.088,0.0043,-0.0033
TOI-1634 b,TOI-1634,Transit,0.989343,1.5e-05,-1.5e-05,0.01545,0.00214,-0.0022,,,,0.16,0.007,-0.007,0.01545,0.00014,-0.00014,0.16,,
TOI-1634 b,TOI-1634,Transit,0.9893436,2e-06,-2e-06,0.0319,0.00299,-0.00299,,,,0.156,0.007,-0.007,0.0149,0.00017,-0.00017,0.0,,
TOI-1634 b,TOI-1634,Transit,0.98933001,0.00010554,-0.00010554,,,,,,,0.163,0.154,-0.154,,,,,,
TOI-3714 b,TOI-3714,Transit,2.154849,1e-06,-1e-06,0.7,0.03,-0.03,,,,1.01,0.03,-0.03,0.027,0.001,-0.001,0.03,0.03,-0.02
TOI-3714 b,TOI-3714,Transit,2.1548334,0.0001509,-0.0001509,,,,,,,0.997,0.035,-0.035,,,,,,
TOI-421 b,TOI-421,Transit,5.19768584,2.937e-05,-2.937e-05,,,,,,,0.172,0.088,-0.088,,,,,,
TOI-421 b,TOI-421,Transit,5.19672,0.00049,-0.00049,0.02256,0.00208,-0.00208,,,,0.239,0.017,-0.016,0.056,0.0018,-0.0018,0.163,0.082,-0.071
TOI-421 c,TOI-421,Transit,16.06819,0.00035,-0.00035,0.05166,0.00334,-0.00327,,,,0.454,0.014,-0.013,0.1189,0.0039,-0.0039,0.152,0.042,-0.042
TOI-421 c,TOI-421,Transit,16.06752202,1.726e-05,-1.726e-05,,,,,,,0.427,0.031,-0.031,,,,,,
TOI-451 b,TOI-451,Transit,1.85866242,1.351e-05,-1.351e-05,,,,,,,0.172,0.167,-0.167,,,,,,
TOI-451 b,TOI-451,Transit,1.858703,2.5e-05,-3.5e-05,,,,,,,0.17,0.011,-0.011,0.0283,0.0011,-0.0012,0.0,,
TOI-451 c,TOI-451,Transit,9.192522,6e-05,-0.0001,,,,,,,0.277,0.012,-0.012,0.0823,0.0033,-0.0036,0.0,,
TOI-451 c,TOI-451,Transit,9.19107915,9.692e-05,-9.692e-05,,,,,,,0.243,0.078,-0.078,,,,,,
TOI-451 d,TOI-451,Transit,16.36487304,4.921e-05,-4.921e-05,,,,,,,0.35,0.045,-0.045,,,,,,
TOI-451 d,TOI-451,Transit,16.364988,4.4e-05,-4.4e-05,,,,,,,0.363,0.013,-0.013,0.1208,0.0048,-0.0052,0.0,,
TOI-942 b,TOI-942,Transit,4.3263,0.0011,-0.0011,0.05034,,,,,,0.378,0.034,-0.028,0.0498,0.0007,-0.0007,0.285,0.133,-0.099
TOI-942 b,TOI-942,Transit,4.32419,3e-05,-3e-05,2.6,,,,,,0.429,0.018,-0.018,0.04796,0.00073,-0.00065,0.0,,
TOI-942 b,TOI-942,Transit,4.32765,0.00173,-0.00173,,,,,,,0.314,0.024,-0.024,,,,,,
TOI-942 c,TOI-942,Transit,10.1605,0.0056,-0.0053,0.11641,,,,,,0.428,0.037,-0.031,0.088,0.0014,-0.0014,0.175,0.139,-0.103
TOI-942 c,TOI-942,Transit,10.15643,6.9e-05,-7.9e-05,2.5,,,,,,0.517,0.017,-0.016,0.0847,0.0012,-0.0011,0.0,,
TrES-1 b,TrES-1,Transit,3.0300737,1.3e-06,-1.3e-06,,,,,,,1.081,0.029,-0.029,,,,,,
TrES-1 b,TrES-1,Transit,3.03006778,6.9e-07,-6.9e-07,,,,,,,1.134,0.061,-0.061,,,,,,
TrES-1 b,TrES-1,Transit,3.030065,,,0.752,0.047,-0.046,,,,1.067,0.022,-0.021,0.03925,0.00056,-0.0006,,,
TrES-1 b,TrES-1,Transit,3.0300728,6e-07,-6e-07,0.761,0.051,-0.051,,,,1.099,0.035,-0.035,0.03946,0.00072,-0.00072,,,
TrES-1 b,TrES-1,Transit,3.03007008,1e-07,-1e-07,,,,,,,,,,,,,,,
TrES-1 b,TrES-1,Transit,3.03007,8e-06,-8e-06,0.84,0.11,-0.11,,,,1.13,0.06,-0.06,,,,0.0,,
TrES-1 b,TrES-1,Transit,3.030065,8e-06,-8e-06,0.75,0.07,-0.07,,,,1.08,0.18,-0.04,0.0393,0.0011,-0.0011,,,
