pl_name,hostname,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
GJ 676 A b,GJ 676 A,Radial Velocity,1056.80005,2.8,-2.8,4.96,0.96,-0.96,4.96,0.96,-0.96,,,,1.82,0.06,-0.06,0.33,0.01,-0.01
GJ 676 A c,GJ 676 A,Radial Velocity,7337.0,95.0,-92.0,6.8,0.1,-0.1,6.8,0.1,-0.1,,,,6.6,0.1,-0.1,,,
GJ 676 A d,GJ 676 A,Radial Velocity,3.6005,0.0002,-0.0002,0.014,0.001,-0.001,0.014,0.001,-0.001,,,,,,,0.262,0.09,-0.101
GJ 676 A d,GJ 676 A,Radial Velocity,3.6,0.0008,-0.0008,0.014,0.002,-0.002,0.014,0.002,-0.002,,,,0.0413,0.0014,-0.0014,0.15,0.09,-0.09
GJ 676 A e,GJ 676 A,Radial Velocity,35.37,0.07,-0.07,0.036,0.005,-0.005,0.036,0.005,-0.005,,,,0.187,0.007,-0.007,0.24,0.12,-0.12
GJ 676 A e,GJ 676 A,Radial Velocity,35.39,0.03,-0.04,0.025,0.002,-0.002,0.025,0.002,-0.002,,,,,,,0.125,0.119,-0.087
GJ 720 A b,GJ 720 A,Radial Velocity,19.466,0.005,-0.005,0.04292,0.00245,-0.00249,0.04292,0.00245,-0.00249,,,,0.119,0.002,-0.001,0.12,0.05,-0.06
GJ 86 b,GJ 86,Radial Velocity,15.76491,0.00039,-0.00039,3.91,0.32,-0.32,3.91,0.32,-0.32,,,,0.113,0.0065,-0.0065,0.0416,0.0072,-0.0072
GJ 86 b,GJ 86,Radial Velocity,15.76491,0.00039,-0.00039,4.42,0.2,-0.2,4.42,0.2,-0.2,,,,0.11,0.0,0.0,0.04,0.01,-0.01
GJ 86 b,GJ 86,Radial Velocity,15.764,0.005,-0.005,4.04,,,4.04,,,,,,0.114,,,0.046,0.002,-0.002
Gl 49 b,Gl 49,Radial Velocity,13.8508,0.0053,-0.0051,0.01771,0.00211,-0.00214,0.01771,0.00211,-0.00214,,,,0.0905,0.0011,-0.0011,0.363,0.099,-0.096
HAT-P-1 b,HAT-P-1,Transit,4.46529976,5.5e-07,-5.5e-07,0.525,0.026,-0.026,,,,1.242,0.053,-0.053,0.0553,0.0012,-0.0013,0.011,,
HAT-P-1 b,HAT-P-1,Transit,4.46529,9e-05,-9e-05,0.53,0.04,-0.04,0.53,0.04,-0.04,1.36,0.11,-0.09,0.0551,0.0015,-0.0015,0.0,,
HAT-P-1 b,HAT-P-1,Transit,4.4652934,,,0.534,0.048,-0.048,0.534,0.048,-0.048,,,,0.0551,0.0015,-0.0015,0.0,,
HAT-P-1 b,HAT-P-1,Transit,4.46529976,5.5e-07,-5.5e-07,0.525,0.019,-0.019,0.524,0.019,-0.019,1.319,0.019,-0.019,0.05561,0.00082,-0.00083,,,
HAT-P-1 b,HAT-P-1,Transit,4.46491,0.0002,-0.0002,,,,,,,1.364,0.064,-0.064,,,,,,
HAT-P-1 b,HAT-P-1,Transit,4.4652992,4e-07,-4e-07,,,,,,,,,,,,,,,
HAT-P-1 b,HAT-P-1,Transit,4.46,,,0.53,,,,,,1.32,,,,,,,,
HAT-P-1 b,HAT-P-1,Transit,4.46529974,5.5e-07,-5.5e-07,,,,,,,,,,,,,,,
HAT-P-1 b,HAT-P-1,Transit,4.4652934,9.3e-06,-9.3e-06,0.524,0.018,-0.018,,,,1.217,0.039,-0.039,0.05535,0.00071,-0.00071,,,
HAT-P-1 b,HAT-P-1,Transit,4.46543,,,0.532,0.03,-0.03,,,,1.242,0.053,-0.053,0.0553,0.0012,-0.0013,,,
HAT-P-1 b,HAT-P-1,Transit,4.4652934,9.3e-06,-9.3e-06,0.524,0.031,-0.031,,,,1.225,0.059,-0.059,,,,0.0,,
HAT-P-1 b,HAT-P-1,Transit,4.4652968,1.8e-06,-1.8e-06,0.529,0.02,-0.02,,,,1.319,0.019,-0.019,0.05561,0.00083,-0.00083,0.0,,
HAT-P-1 b,HAT-P-1,Transit,,,,,,,,,,,,,,,,,,
