System,Type,Type_ref,Gaia_ID,ra,ra_error,dec,dec_error,parallax,parallax_error,distance_gspphot,distance_gspphot_upper,distance_gspphot_lower,pmra,pmra_error,pmdec,pmdec_error,pm,radial_velocity,radial_velocity_error
HD 116029,K1IV,1997JApA...18..161Y,Gaia DR3 1446584503287858560,200.16468837335069,0.016926879,24.648465258835454,0.0124456175,8.120393913691041,0.025020376,122.3353,122.8237,121.9113,-14.321544177845983,0.025043983,-52.25240159314896,0.016530579,54.179516,-6.739653,0.11857863
HD 11964,G9VCN+1,2006AJ....132..161G,Gaia DR3 2462426800883134336,29.288373423111608,0.024075536,-10.24350297756486,0.014397577,29.79282178461356,0.024518276,--,--,--,-366.9970029177804,0.03826788,-242.38565685558774,0.015286745,439.81543,-9.392241,0.11960152
HD 125612,G3V,1988MSS...C04....0H,Gaia DR3 6296703260330865536,215.22270948132993,0.024917059,-17.4818240911491,0.022548791,17.289652997399102,0.027880002,57.6973,57.7864,57.5967,-60.25996443430407,0.034376852,-67.31421546437618,0.027133515,90.346375,-18.249695,0.15381078
HD 126614,G8IV,1999MSS...C05....0H,Gaia DR3 3641697998570813952,216.70049623081826,0.016495397,-5.178429568197561,0.013730577,13.663313797008593,0.016580151,72.9784,73.0693,72.8953,-149.7604829973102,0.023250038,-145.83679016949264,0.017769676,209.03725,-32.699764,0.15063737
HD 132563,F8III,,,,,,,,,,,,,,,,,,
HD 133131,G2V+G2V,1972A&A....18..341S,,,,,,,,,,,,,,,,,
HD 142,F7V,2006AJ....132..161G,Gaia DR3 4976894960284258048,1.5837990651942728,0.01700703,-49.075368186630975,0.020568669,38.19453346692788,0.035520833,26.1689,26.1961,26.1405,575.0993084165844,0.017257318,-40.8740956886412,0.023774054,576.55,5.7567415,0.1160367
HD 142022,G9IV-V,2006AJ....132..161G,Gaia DR3 5768159705804908800,242.54770649475105,0.013737896,-84.2317538110195,0.016443267,29.199118647793348,0.017200772,34.0907,34.1185,34.0596,-337.2704483164888,0.019196784,-31.38612227593692,0.023290636,338.7277,-9.961685,0.13421611
HD 142245,K0,1993yCat.3135....0C,Gaia DR3 1193193836691820032,238.2342360753037,0.017287588,15.430608795965497,0.013774642,10.237377828427679,0.022432208,97.0832,97.3599,96.8131,-57.31166375275386,0.020034017,-21.641038302146953,0.017195404,61.261417,6.6801343,0.11783459
HD 147379,M1-Ve,1989ApJS...71..245K,Gaia DR3 1642641410934267008,244.17238993246437,0.01526464,67.2392157683359,0.014311981,92.87660493860945,0.014588618,10.768,10.7932,10.7478,-497.91542844233754,0.018054526,84.04651524101907,0.018186517,504.95898,-19.619755,0.13084833
HD 147513,G5V,2006A&A...460..695T,Gaia DR3 6018047019138644480,246.0058026651914,0.057033733,-39.192965569776966,0.038358666,77.56546482061312,0.066113755,12.8827,12.8955,12.8646,73.7483592823494,0.08200179,3.3665386250642886,0.05878225,73.82516,12.845835,0.12912242
HD 147873,G1V,1982MSS...C03....0H,Gaia DR3 6024733935303422208,246.4380439934823,0.027797727,-33.567224917687895,0.016620157,9.079629996555786,0.028979711,108.2113,108.9293,107.598,-18.684865751802942,0.036454007,-22.797563095067083,0.024648763,29.476315,22.955942,0.1568265
HD 155233,K1III,1988MSS...C04....0H,Gaia DR3 4116106136072676608,257.768137614784,0.021585645,-20.655183269879405,0.0138556305,13.366858579206083,0.028057287,75.0555,75.2291,74.8628,-9.82265245787705,0.02930866,-138.33821611499667,0.020457285,138.68651,-10.446684,0.121484205
HD 156846,G1V,1988MSS...C04....0H,Gaia DR3 4122343906051101184,260.14231640956194,0.019656526,-19.33438492739363,0.013653706,20.96835127315822,0.022890199,47.5339,47.6188,47.0933,-137.0760578647058,0.028970147,-143.37762307815782,0.018713543,198.36075,-68.56453,0.12194873
HD 16141,G2V,1974AJ.....79..682H,Gaia DR3 2495335115182966016,38.83234577472829,0.023298416,-3.562549585651071,0.020894906,26.505717959938682,0.027086018,37.8206,38.0616,37.7209,-155.5013598848274,0.03193539,-437.84777107538133,0.024878213,464.64108,-50.954742,0.12366924
HD 16417,G1V,2006AJ....132..161G,Gaia DR3 5062172841616745856,39.24409983264786,0.015343766,-34.57912647324325,0.0205559,39.29461609004107,0.030513747,25.522,25.6514,25.4391,-18.36289552760158,0.018027961,-259.0017083849248,0.026518108,259.65186,11.155645,0.11674504
HD 164509,G2V,1999MSS...C05....0H,Gaia DR3 4275421969292868224,270.38007999932887,0.016202902,0.10446566243109,0.015971951,18.61552853856373,0.021881752,53.6103,53.6666,53.5427,-7.876353618404301,0.021389786,-20.461641336582332,0.019880105,21.92523,13.562283,0.13872524
HD 164595,G2V,1970AJ.....75..507H,Gaia DR3 4584639307993378432,270.1613501693823,0.010296538,29.572693853533792,0.013059141,35.40197793844217,0.014562073,28.1656,28.1865,28.1383,-138.98181269215274,0.012895981,173.50209641933057,0.0156135,222.30367,1.9887282,0.12407725
HD 170469,G5,1993yCat.3135....0C,Gaia DR3 4484013343859055744,277.2955354470397,0.018533817,11.695421840710969,0.01925682,16.573187341917393,0.023059517,60.2299,60.3245,60.1266,-48.27661969679889,0.02358994,-17.79138687477508,0.025816463,51.45061,-59.344173,0.12945485
HD 177830,K0+M4V,2015AJ....150..103R,Gaia DR3 2035963417721248128,286.3363510826131,0.009085716,25.920425344965793,0.013295014,16.0062960175231,0.016456528,--,--,--,-41.24770873907078,0.011535249,-52.58040108467994,0.017127749,66.828674,-72.270805,0.11962795
HD 178911,G1V+K1V,2014AJ....148...48F,Gaia DR3 2044341077844183040,287.2685427897602,0.63276976,34.601265789629075,0.8587986,--,--,--,--,--,--,--,--,--,--,-41.652843,4.521365
HD 180617,M3-V,1989ApJS...71..245K,Gaia DR3 4293318823182081408,289.2276515036191,0.01995468,5.162976302668586,0.01894904,169.06150528157374,0.023926072,5.9095,5.9179,5.886,-579.0805296593278,0.024688331,-1332.8677163542409,0.021144519,1453.2277,35.329697,0.13070686
HD 180902,K0III/IV,1988MSS...C04....0H,Gaia DR3 6770721346051487872,289.82396610445016,0.019261656,-23.558246047220273,0.016281215,9.515695218944568,0.021209944,106.8738,107.0917,106.6366,37.83153956812493,0.0219272,-20.334268218135037,0.017970385,42.95006,-3.2713704,0.13683005
HD 185269,G2V,1969AJ.....74..916H,Gaia DR3 2031479093959232128,294.2987618590443,0.010781099,28.499502691254843,0.013587195,19.242259439856873,0.018206649,51.8846,51.9316,51.8389,-31.563413444161753,0.0152949495,-81.08241076554879,0.018166473,87.00923,0.6801144,0.120384894
HD 188015,G5IV,,Gaia DR3 2028419118720795392,298.01919397941856,0.012030955,28.099964005036682,0.014150579,19.7003613148022,0.019411655,50.7775,52.0019,50.6126,52.809476687983434,0.01532088,-92.16625206102927,0.017297145,106.223625,0.16413224,0.12052653
HD 189733,K2V,2003AJ....126.2048G,Gaia DR3 1827242816201846144,300.1821218062407,0.009658503,22.709741105168273,0.011860526,50.56684941372739,0.016198024,19.7679,19.7801,19.7604,-3.208339784864691,0.011052146,-250.32333085817578,0.0139544625,250.34389,-2.531722,0.122242704
HD 190360,G7IV-V,2006AJ....132..161G,Gaia DR3 2029433521248546304,300.9093570564763,0.020898439,29.894467940509667,0.026556011,62.48650893182535,0.03535643,15.9992,16.0182,15.9873,683.1962193381917,0.027248329,-525.5010370094575,0.036196236,861.9213,-45.338062,0.11665686
